"DIRECTORIO";"HOGAR_NUMERO";"PERSONA_NUMERO";"REGION";"sexo";"estrato";"no_identifica_x_escándalos_corrupcion";"conteo_transparente_colombia"
112235;1;1;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112235;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
112236;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112236;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
112237;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112237;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112243;1;1;"Central";"Mujer";"Estrato 1";NA;"No"
112244;1;1;"Central";"Mujer";"Estrato 1";"No";"No"
112244;1;2;"Central";"Mujer";"Estrato 1";"No";"Sí"
112244;1;3;"Central";"Hombre";"Estrato 1";"No";"Sí"
112244;1;4;"Central";"Hombre";"Estrato 1";"No";"Sí"
112245;1;1;"Central";"Mujer";"Estrato 1";"Sí";"Sí"
112270;1;1;"Central";"Hombre";"Estrato 1";"Sí";"No"
112270;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112271;1;1;"Central";"Hombre";"Estrato 1";"No";NA
112271;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112272;1;1;"Central";"Hombre";"Estrato 1";"Sí";"No"
112272;1;2;"Central";"Mujer";"Estrato 1";"Sí";"No"
112273;1;1;"Central";"Hombre";"Estrato 1";"Sí";"No"
112273;1;2;"Central";"Mujer";"Estrato 1";"Sí";"No"
112274;1;1;"Central";"Mujer";"Estrato 1";"Sí";"No"
112274;1;2;"Central";"Hombre";"Estrato 1";"No";NA
112275;1;1;"Central";"Hombre";"Estrato 1";NA;NA
112275;1;2;"Central";"Mujer";"Estrato 1";"No";NA
112276;1;1;"Central";"Mujer";"Estrato 1";"No";NA
112276;1;2;"Central";"Hombre";"Estrato 1";"Sí";NA
112276;1;3;"Central";"Hombre";"Estrato 1";"No";NA
112276;1;4;"Central";"Hombre";"Estrato 1";"Sí";"Sí"
112277;1;1;"Central";"Mujer";"Estrato 1";"Sí";"No"
112277;1;2;"Central";"Hombre";"Estrato 1";"No";"No"
112278;1;1;"Central";"Mujer";"Estrato 1";"No";NA
112278;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112278;1;3;"Central";"Mujer";"Estrato 1";"Sí";NA
112278;1;4;"Central";"Mujer";"Estrato 1";"Sí";NA
112279;1;1;"Central";"Mujer";"Estrato 1";NA;"No"
112280;1;1;"Central";"Hombre";"Estrato 1";NA;"No"
112280;1;2;"Central";"Mujer";"Estrato 1";"No";NA
112281;1;1;"Central";"Mujer";"Estrato 2";"Sí";"No"
112281;1;2;"Central";"Mujer";"Estrato 2";"Sí";"No"
112282;1;1;"Central";"Hombre";"Estrato 1";"No";"No"
112283;1;1;"Central";"Mujer";"Estrato 1";"Sí";"No"
112284;1;1;"Central";"Hombre";"Estrato 1";"No";"No"
112284;1;2;"Central";"Mujer";"Estrato 1";NA;NA
112285;1;1;"Central";"Hombre";"Estrato 2";"Sí";NA
112286;1;1;"Central";"Mujer";"Estrato 2";"Sí";NA
112286;1;2;"Central";"Hombre";"Estrato 2";"Sí";NA
112286;1;3;"Central";"Hombre";"Estrato 2";"Sí";NA
112287;1;1;"Central";"Hombre";"Estrato 1";NA;"No"
112287;1;2;"Central";"Mujer";"Estrato 1";NA;"Sí"
112287;1;3;"Central";"Mujer";"Estrato 1";NA;"No"
112288;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112288;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112289;1;1;"Caribe";"Hombre";"Estrato 2";NA;"No"
112289;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
112289;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112289;1;4;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112290;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112290;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
112291;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112291;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
112291;1;4;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
112292;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112292;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112292;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112292;1;6;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112293;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112293;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112294;1;1;"Caribe";"Hombre";"Estrato 1";"No";NA
112294;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112294;1;3;"Caribe";"Mujer";"Estrato 1";"No";"No"
112294;1;4;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112294;1;5;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112295;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112295;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
112296;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112296;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112297;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112297;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112298;1;1;"Caribe";"Mujer";"Estrato 3";"No";"Sí"
112298;1;2;"Caribe";"Mujer";"Estrato 3";"No";"Sí"
112299;1;1;"Caribe";"Mujer";"Estrato 3";"No";"No"
112299;1;2;"Caribe";"Hombre";"Estrato 3";NA;"No"
112300;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112301;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";NA
112301;1;2;"Caribe";"Hombre";"Estrato 3";"No";"No"
112302;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112302;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112303;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
112304;1;1;"Caribe";"Hombre";NA;NA;"No"
112305;1;1;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
112305;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
112306;1;1;"Caribe";"Mujer";"Estrato 3";"Sí";"Sí"
112306;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"Sí"
112307;1;1;"Caribe";"Mujer";"Estrato 3";"No";"Sí"
112308;1;1;"Caribe";"Hombre";"Estrato 3";NA;"No"
112308;1;2;"Caribe";"Mujer";"Estrato 3";"No";"No"
112309;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112309;1;2;"Caribe";"Hombre";"Estrato 2";NA;"No"
112310;1;1;"Caribe";"Hombre";"Estrato 2";NA;"Sí"
112310;1;2;"Caribe";"Mujer";"Estrato 2";NA;"No"
112310;1;3;"Caribe";"Hombre";"Estrato 2";NA;"No"
112311;1;1;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112311;1;2;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112311;1;3;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
112312;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112313;1;1;"Caribe";"Mujer";"Estrato 1";NA;"No"
112314;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112314;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
112315;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
112315;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112315;1;5;"Caribe";"Mujer";"Estrato 1";NA;"No"
112316;1;1;"Caribe";"Mujer";"Estrato 2";NA;"Sí"
112316;1;2;"Caribe";"Mujer";"Estrato 2";NA;"Sí"
112317;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112318;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
112318;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"Sí"
112318;1;3;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112318;1;4;"Caribe";"Hombre";"Estrato 2";"No";"No"
112319;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112320;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112321;1;1;"Caribe";"Mujer";"Estrato 1";NA;"Sí"
112321;1;2;"Caribe";"Hombre";"Estrato 1";NA;NA
112321;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112322;1;1;"Caribe";"Mujer";"Estrato 1";NA;NA
112323;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";NA
112323;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";NA
112324;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112325;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112325;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";NA
112325;1;3;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112326;1;1;"Caribe";"Mujer";"Estrato 1";NA;"No"
112327;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112327;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112327;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112328;1;1;"Caribe";"Hombre";"Estrato 2";"Sí";NA
112328;1;2;"Caribe";"Mujer";"Estrato 2";"Sí";"No"
112328;1;3;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112329;1;1;"Caribe";"Mujer";"Estrato 2";"No";"Sí"
112329;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112330;1;1;"Caribe";"Mujer";"Estrato 2";"No";"No"
112330;1;2;"Caribe";"Hombre";"Estrato 2";"No";"No"
112330;1;3;"Caribe";"Hombre";"Estrato 2";"No";"No"
112331;1;1;"Caribe";"Mujer";"Estrato 2";NA;"No"
112331;1;2;"Caribe";"Hombre";"Estrato 2";NA;"No"
112331;1;3;"Caribe";"Hombre";"Estrato 2";NA;"No"
112332;1;1;"Caribe";"Mujer";"Estrato 2";NA;"Sí"
112332;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112333;1;1;"Caribe";"Mujer";"Estrato 2";"Sí";"Sí"
112333;1;2;"Caribe";"Hombre";"Estrato 2";"Sí";"No"
112334;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112334;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112335;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112335;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
112337;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112337;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112338;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112338;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112339;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112339;1;2;"Caribe";"Hombre";"Estrato 1";"No";NA
112340;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112341;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
112341;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112341;1;3;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112342;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112342;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112343;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112343;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
112343;1;3;"Caribe";"Hombre";"Estrato 1";"No";NA
112344;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112344;1;2;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
112344;1;3;"Caribe";"Mujer";"Estrato 1";NA;"No"
112345;1;1;"Caribe";"Mujer";"Estrato 1";"No";NA
112345;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";NA
112346;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112346;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112347;1;1;"Caribe";"Hombre";"Estrato 1";NA;"No"
112347;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112347;1;3;"Caribe";"Hombre";"Estrato 1";"No";"No"
112348;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112348;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112348;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112349;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112349;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112349;1;3;"Caribe";"Mujer";"Estrato 1";"No";"No"
112350;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112351;1;1;"Caribe";"Mujer";"Estrato 3";"No";"No"
112351;1;2;"Caribe";"Mujer";"Estrato 3";"No";"No"
112352;1;1;"Caribe";"Hombre";"Estrato 3";NA;NA
112353;1;1;"Caribe";"Mujer";"Estrato 3";"No";NA
112353;1;5;"Caribe";"Mujer";"Estrato 3";"Sí";NA
112354;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112354;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112354;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112354;1;4;"Caribe";"Hombre";"Estrato 1";"No";NA
112355;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112355;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112355;1;3;"Caribe";"Mujer";"Estrato 1";"No";"No"
112355;1;4;"Caribe";"Hombre";"Estrato 1";"No";"No"
112357;1;1;"Caribe";"Hombre";"Estrato 3";NA;"No"
112358;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112359;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"No"
112359;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
112360;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112361;1;1;"Caribe";"Mujer";"Estrato 3";"No";"No"
112361;1;2;"Caribe";"Hombre";"Estrato 3";"Sí";"No"
112361;1;3;"Caribe";"Hombre";"Estrato 3";NA;"No"
112362;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112362;1;2;"Caribe";"Mujer";"Estrato 1";"No";NA
112362;1;5;"Caribe";"Mujer";"Estrato 1";"No";NA
112363;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112363;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112364;1;1;"Caribe";"Mujer";"Estrato 3";NA;"No"
112364;1;2;"Caribe";"Mujer";"Estrato 3";"Sí";"No"
112365;1;1;"Caribe";"Hombre";"Estrato 1";"No";"Sí"
112365;1;2;"Caribe";"Mujer";"Estrato 1";"No";"No"
112365;1;3;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112365;1;4;"Caribe";"Mujer";"Estrato 1";"Sí";NA
112365;1;7;"Caribe";"Hombre";"Estrato 1";"No";"No"
112365;1;8;"Caribe";"Mujer";"Estrato 1";"No";NA
112366;1;1;"Caribe";"Mujer";"Estrato 1";"No";"No"
112366;1;2;"Caribe";"Hombre";"Estrato 1";"No";"No"
112366;1;3;"Caribe";"Hombre";"Estrato 1";"No";NA
112367;1;1;"Caribe";"Hombre";"Estrato 3";"Sí";"No"
112368;1;1;"Caribe";"Hombre";"Estrato 3";"No";"No"
112368;1;2;"Caribe";"Mujer";"Estrato 3";"No";"No"
112369;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"Sí"
112369;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112370;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112370;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112370;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112371;1;1;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112372;1;1;"Caribe";"Hombre";"Estrato 1";NA;"Sí"
112372;1;2;"Caribe";"Mujer";"Estrato 1";"No";"Sí"
112373;1;1;"Caribe";"Hombre";"Estrato 1";"No";"No"
112373;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112374;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112375;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112375;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112375;1;3;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112376;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";NA
112377;1;1;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112377;1;2;"Caribe";"Mujer";"Estrato 1";"Sí";"Sí"
112378;1;1;"Caribe";"Mujer";"Estrato 1";"Sí";"No"
112378;1;2;"Caribe";"Hombre";"Estrato 1";"Sí";"No"
112379;1;1;"Caribe";"Mujer";NA;"Sí";NA
112379;1;2;"Caribe";"Mujer";NA;"Sí";NA
112379;1;3;"Caribe";"Hombre";NA;"No";"No"
112380;1;1;"Caribe";"Hombre";NA;"No";NA
112380;1;2;"Caribe";"Mujer";NA;"No";NA
112401;1;1;"Central";"Hombre";"Estrato 2";"Sí";NA
112401;1;2;"Central";"Mujer";"Estrato 2";"Sí";"Sí"
112402;1;1;"Central";"Mujer";"Estrato 1";"Sí";"No"
112403;1;1;"Central";"Mujer";"Estrato 1";"Sí";NA
112404;1;1;"Central";"Mujer";"Estrato 1";NA;NA
112404;1;2;"Central";"Hombre";"Estrato 1";"No";NA
112405;1;1;"Central";"Hombre";"Estrato 1";"Sí";"Sí"
112405;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112405;1;3;"Central";"Hombre";"Estrato 1";"Sí";NA
112406;1;1;"Central";"Mujer";"Estrato 2";"Sí";"No"
112406;1;2;"Central";"Hombre";"Estrato 2";"Sí";NA
112407;1;1;"Central";"Mujer";"Estrato 1";"Sí";NA
112407;1;2;"Central";"Hombre";"Estrato 1";"Sí";NA
112408;1;1;"Central";"Hombre";"Ilegal - pirata";"Sí";NA
112408;1;2;"Central";"Mujer";"Ilegal - pirata";"Sí";NA
112409;1;1;"Central";"Mujer";"Estrato 2";"Sí";"No"
112409;1;2;"Central";"Mujer";"Estrato 2";"Sí";NA
112410;1;1;"Central";"Hombre";"Estrato 1";"Sí";NA
112410;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112411;1;1;"Central";"Hombre";"Estrato 2";"Sí";"No"
112411;1;2;"Central";"Mujer";"Estrato 2";"No";"No"
112412;1;1;"Central";"Mujer";"Estrato 1";"Sí";NA
112412;1;2;"Central";"Hombre";"Estrato 1";"Sí";NA
112413;1;1;"Central";"Hombre";"Estrato 2";"No";NA
112413;1;2;"Central";"Mujer";"Estrato 2";"No";"No"
112414;1;1;"Central";"Hombre";"Estrato 2";"No";NA
112414;1;2;"Central";"Mujer";"Estrato 2";"No";NA
112415;1;1;"Central";"Hombre";"Estrato 1";"Sí";NA
112415;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112415;1;3;"Central";"Hombre";"Estrato 1";"Sí";NA
112416;1;1;"Central";"Mujer";"Estrato 2";"No";NA
112417;1;1;"Central";"Mujer";"Estrato 2";"Sí";"No"
112418;1;1;"Central";"Mujer";"Estrato 1";"No";NA
112418;1;2;"Central";"Mujer";"Estrato 1";"No";"No"
112418;1;3;"Central";"Mujer";"Estrato 1";"No";"No"
112419;1;1;"Central";"Hombre";"Estrato 1";NA;"No"
112420;1;1;"Central";"Hombre";"Estrato 1";"No";NA
112420;1;2;"Central";"Mujer";"Estrato 1";"No";"Sí"
112421;1;1;"Central";"Hombre";"Estrato 1";"Sí";"No"
112422;1;1;"Central";"Mujer";"Estrato 1";"No";NA
112422;1;2;"Central";"Mujer";"Estrato 1";"No";"No"
112423;1;1;"Central";"Mujer";"Estrato 1";"Sí";NA
112424;1;1;"Central";"Mujer";"Estrato 1";NA;"Sí"
112467;1;1;"Central";"Hombre";"Estrato 3";"Sí";"No"
112468;1;1;"Central";"Hombre";"Estrato 3";"Sí";"No"
112469;1;1;"Central";"Hombre";"Estrato 3";"Sí";"No"
112470;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
112471;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
112472;1;1;"Central";"Mujer";"Estrato 3";"Sí";"No"
112473;1;1;"Central";"Hombre";"Estrato 6";"No";"Sí"
112474;1;1;"Central";"Hombre";"Estrato 6";"No";"Sí"
112474;1;2;"Central";"Mujer";"Estrato 6";"Sí";"Sí"
112475;1;1;"Central";"Hombre";"Estrato 2";"Sí";"Sí"
112475;1;2;"Central";"Mujer";"Estrato 2";"Sí";"Sí"
112476;1;1;"Central";"Mujer";"Estrato 2";"No";NA
112476;1;2;"Central";"Hombre";"Estrato 2";"No";NA
112477;1;1;"Central";"Hombre";"Estrato 2";"No";"No"
112477;1;2;"Central";"Mujer";"Estrato 2";"No";"No"
112477;1;3;"Central";"Mujer";"Estrato 2";"Sí";NA
112478;1;1;"Central";"Mujer";"Estrato 2";"No";NA
112478;1;2;"Central";"Mujer";"Estrato 2";"No";NA
112478;1;3;"Central";"Mujer";"Estrato 2";"No";NA
112479;1;1;"Central";"Mujer";"Estrato 2";"No";NA
112479;1;2;"Central";"Hombre";"Estrato 2";"No";NA
112480;1;1;"Central";"Hombre";"Estrato 2";"No";NA
112480;1;2;"Central";"Mujer";"Estrato 2";"Sí";NA
112480;1;3;"Central";"Mujer";"Estrato 2";"No";"Sí"
112480;1;4;"Central";"Hombre";"Estrato 2";"No";NA
112480;1;5;"Central";"Hombre";"Estrato 2";"No";NA
112481;1;1;"Central";"Hombre";"Estrato 2";"No";"No"
112481;1;2;"Central";"Mujer";"Estrato 2";"Sí";"No"
112482;1;1;"Central";"Mujer";"Estrato 1";"Sí";"Sí"
112482;1;2;"Central";"Mujer";"Estrato 1";"Sí";NA
112482;1;3;"Central";"Hombre";"Estrato 1";"Sí";"No"
112483;1;1;"Central";"Hombre";"Estrato 4";NA;NA
112483;1;2;"Central";"Mujer";"Estrato 4";NA;NA
112483;1;3;"Central";"Mujer";"Estrato 4";"Sí";NA
112484;1;1;"Central";"Mujer";"Estrato 1";"Sí";NA
112484;1;2;"Central";"Hombre";"Estrato 1";"Sí";"No"
112485;1;1;"Central";"Mujer";"Estrato 1";NA;"No"
112485;1;2;"Central";"Hombre";"Estrato 1";NA;"No"
112486;1;1;"Central";"Mujer";"Estrato 1";"Sí";"No"
112486;1;2;"Central";"Hombre";"Estrato 1";"Sí";"No"
112486;1;3;"Central";"Mujer";"Estrato 1";"Sí";"No"
112486;1;4;"Central";"Hombre";"Estrato 1";"Sí";"No"
112487;1;1;"Central";"Mujer";"Estrato 1";NA;"No"
112487;1;2;"Central";"Hombre";"Estrato 1";NA;"No"
112488;1;1;"Central";"Mujer";"Estrato 2";"Sí";"No"
112488;1;2;"Central";"Hombre";"Estrato 2";NA;NA
112489;1;1;"Central";"Mujer";"Estrato 1";"No";"No"
112489;1;2;"Central";"Mujer";"Estrato 1";NA;"No"
112490;1;1;"Central";"Hombre";"Estrato 1";NA;"No"
112490;1;2;"Central";"Mujer";"Estrato 1";NA;"Sí"
112491;1;1;"Central";"Hombre";"Estrato 2";"Sí";NA
112491;1;2;"Central";"Mujer";"Estrato 2";"Sí";"No"
112491;1;3;"Central";"Hombre";"Estrato 2";"Sí";NA
112492;1;1;"Central";"Hombre";"Estrato 1";"No";"Sí"
112493;1;1;"Central";"Hombre";"Estrato 3";"Sí";"Sí"
112493;1;2;"Central";"Mujer";"Estrato 3";"Sí";NA
